"cfop";"ncm";"natureza_frete";"y"
"1653";"27101932-000";vazio;"TRIBUTADO"
"5102";"23099010-000";vazio;"SUSPENSÃO"
"5102";"23099010-000";vazio;"TRIBUTADO"
"5102";"23099010-000";vazio;"TRIBUTADO"
"5102";"23099010-000";vazio;"TRIBUTADO"
"5102";"23099010-000";vazio;"TRIBUTADO"
"5102";"23099010-000";vazio;"TRIBUTADO"
"5102";"23099010-000";vazio;"TRIBUTADO"
"5102";"23099090-000";vazio;"SUSPENSÃO"
"5102";"23099090-000";vazio;"SUSPENSÃO"
"5102";"23099090-000";vazio;"SUSPENSÃO"
"5102";"23099090-000";vazio;"SUSPENSÃO"
"5102";"23099090-000";vazio;"SUSPENSÃO"
"5102";"23099090-000";vazio;"SUSPENSÃO"
"5102";"23099090-000";vazio;"SUSPENSÃO"
"5102";"23099090-000";vazio;"SUSPENSÃO"
"5102";"23099090-000";vazio;"SUSPENSÃO"
"5102";"23099090-000";vazio;"SUSPENSÃO"
"5102";"23099090-000";vazio;"SUSPENSÃO"
"5102";"23099090-000";vazio;"SUSPENSÃO"
"5102";"23040090-000";vazio;"SUSPENSÃO"
"5102";"23099090-000";vazio;"SUSPENSÃO"
"5102";"23099090-000";vazio;"SUSPENSÃO"
"5102";"23040090-000";vazio;"SUSPENSÃO"
"5102";"23040090-000";vazio;"SUSPENSÃO"
"5102";"23040090-000";vazio;"SUSPENSÃO"
"5102";"23040090-000";vazio;"SUSPENSÃO"
"5102";"23040090-000";vazio;"SUSPENSÃO"
"5102";"23040090-000";vazio;"SUSPENSÃO"
"5102";"23040090-000";vazio;"SUSPENSÃO"
"5102";"23040090-000";vazio;"SUSPENSÃO"
"5102";"10059010-000";vazio;"SUSPENSÃO"
"5102";"10059010-000";vazio;"SUSPENSÃO"
"5102";"10059010-000";vazio;"SUSPENSÃO"
"5102";"23040090-000";vazio;"SUSPENSÃO"
"5102";"10059010-000";vazio;"TRIBUTADO"
"5102";"01039200-000";vazio;"TRIBUTADO"
"5102";"01039200-000";vazio;"TRIBUTADO"
"5102";"01039200-000";vazio;"TRIBUTADO"
"5102";"10059010-000";vazio;"SUSPENSÃO"
"5102";"10059010-000";vazio;"SUSPENSÃO"
"5102";"10059010-000";vazio;"SUSPENSÃO"
"5102";"10059010-000";vazio;"SUSPENSÃO"
"5102";"23099090-000";vazio;"SUSPENSÃO"
"5102";"23099090-000";vazio;"SUSPENSÃO"
"5102";"23099090-000";vazio;"SUSPENSÃO"
"5102";"23099090-000";vazio;"SUSPENSÃO"
"5102";"23099090-000";vazio;"SUSPENSÃO"
"5102";"23099090-000";vazio;"SUSPENSÃO"
"5102";"23099090-000";vazio;"SUSPENSÃO"
"5102";"10059010-000";vazio;"SUSPENSÃO"
