"cnpj";"coalesce";"coalesce";"coalesce";"y"
14;"1556";"85392110";"0";"sem direito"
14;"1556";"85392110";"0";"sem direito"
14;"1556";"85392910";"0";"sem direito"
14;"1556";"90271000";"0";"sem direito"
14;"1556";"85013110";"0";"sem direito"
14;"1556";"85392910";"0";"sem direito"
14;"1556";"85444200";"0";"sem direito"
14;"1556";"85366100";"0";"sem direito"
14;"1556";"73181200";"0";"sem direito"
14;"1556";"85013110";"0";"sem direito"
14;"1556";"70091000";"0";"sem direito"
14;"1556";"85389090";"0";"sem direito"
14;"1556";"85389090";"0";"sem direito"
14;"1556";"85369090";"0";"sem direito"
14;"1556";"85369090";"0";"sem direito"
14;"1556";"85369090";"0";"sem direito"
14;"1556";"85392910";"0";"sem direito"
14;"1556";"85122011";"0";"sem direito"
14;"1556";"85444200";"0";"sem direito"
14;"1556";"85366100";"0";"sem direito"
14;"1556";"85366100";"0";"sem direito"
14;"1556";"85122011";"0";"sem direito"
14;"1556";"85444900";"0";"sem direito"
14;"1556";"38099190";"0";"sem direito"
14;"1556";"38099190";"0";"sem direito"
14;"1556";"85392910";"0";"sem direito"
14;"1556";"85392110";"0";"sem direito"
14;"1556";"85361000";"0";"sem direito"
14;"1556";"85392910";"0";"sem direito"
14;"1556";"85392110";"0";"sem direito"
14;"1556";"85365090";"0";"sem direito"
14;"1556";"85389090";"0";"sem direito"
14;"1556";"85392910";"0";"sem direito"
14;"1556";"85392910";"0";"sem direito"
14;"1556";"85122022";"0";"sem direito"
14;"1556";"40169300";"0";"sem direito"
14;"1556";"85366990";"0";"sem direito"
14;"1556";"85444200";"0";"sem direito"
14;"1556";"85366100";"0";"sem direito"
14;"1556";"83023000";"0";"sem direito"
14;"1556";"85392910";"0";"sem direito"
14;"1556";"85392910";"0";"sem direito"
14;"1556";"85361000";"0";"sem direito"
14;"1556";"85361000";"0";"sem direito"
14;"1556";"85365090";"0";"sem direito"
14;"1556";"85472090";"0";"sem direito"
14;"1556";"85444900";"0";"sem direito"
14;"1556";"85444900";"0";"sem direito"
14;"1556";"85392910";"0";"sem direito"
14;"1556";"85392110";"0";"sem direito"
14;"1556";"85122029";"0";"sem direito"
14;"1556";"85122029";"0";"sem direito"
14;"1556";"85122029";"0";"sem direito"
14;"1556";"85122029";"0";"sem direito"
14;"1556";"85365090";"0";"sem direito"
14;"1556";"85389090";"0";"sem direito"
14;"1556";"85389090";"0";"sem direito"
14;"1556";"85369090";"0";"sem direito"
14;"1556";"85369090";"0";"sem direito"
14;"1556";"85392910";"0";"sem direito"
14;"1556";"85392910";"0";"sem direito"
14;"1556";"85122011";"0";"sem direito"
14;"1556";"84212100";"0";"sem direito"
14;"1556";"34053000";"0";"sem direito"
14;"1556";"38249041";"0";"sem direito"
14;"1949";"84219999";"0";"sem incidencia - outras entradas"
14;"0";"0";"0";"tributado"
14;"0";"0";"0";"tributado"
14;"6125";"04041000-000";"0";"tributado"
14;"6101";"04041000-000";"0";"aliquota zero"
14;"5102";"04012090-000";"0";"suspensao"
14;"5102";"04012090-000";"0";"suspensao"
14;"5101";"04061010-000";"0";"aliquota zero"
14;"5101";"04061010-000";"0";"aliquota zero"
14;"5102";"04012090-000";"0";"suspensao"
14;"5102";"04012090-000";"0";"suspensao"
14;"5101";"04061010-000";"0";"aliquota zero"
14;"5101";"04061010-000";"0";"aliquota zero"
14;"5101";"04069020-000";"0";"aliquota zero"
14;"5101";"04069020-000";"0";"aliquota zero"
14;"5102";"04012090-000";"0";"suspensao"
14;"5101";"04061010-000";"0";"aliquota zero"
14;"5101";"04061010-000";"0";"aliquota zero"
14;"5102";"04012090-000";"0";"suspensao"
14;"5101";"04061010-000";"0";"aliquota zero"
14;"5101";"04069020-000";"0";"aliquota zero"
14;"5102";"04012090-000";"0";"suspensao"
14;"5125";"04069020-000";"0";"tributado"
14;"5102";"04012090-000";"0";"suspensao"
14;"5102";"04012090-000";"0";"suspensao"
14;"5125";"04069020-000";"0";"tributado"
14;"5101";"04061010-000";"0";"aliquota zero"
14;"5101";"04061010-000";"0";"aliquota zero"
14;"5101";"04061010-000";"0";"aliquota zero"
14;"5101";"04022130-000";"0";"tributado"
14;"6125";"04041000-000";"0";"tributado"
14;"5101";"04069020-000";"0";"aliquota zero"
14;"5101";"04061010-000";"0";"aliquota zero"
14;"5101";"04069020-000";"0";"aliquota zero"
14;"5101";"04069020-000";"0";"aliquota zero"
14;"5101";"04061010-000";"0";"aliquota zero"
14;"5101";"04061010-000";"0";"aliquota zero"
14;"6125";"04041000-000";"0";"tributado"
14;"6125";"04041000-000";"0";"tributado"
14;"6101";"04041000-000";"0";"aliquota zero"
14;"5101";"04061010-000";"0";"aliquota zero"
14;"6101";"04041000-000";"0";"aliquota zero"
14;"6101";"04041000-000";"0";"aliquota zero"
14;"5101";"04022130-000";"0";"tributado"
14;"6125";"04041000-000";"0";"tributado"
14;"6125";"04041000-000";"0";"tributado"
11;"5949";"34022000-000";"0";"sem incidencia - outras saidas"
11;"5949";"38085029-000";"0";"sem incidencia - outras saidas"
11;"5949";"34022000-000";"0";"sem incidencia - outras saidas"
11;"5949";"38085029-000";"0";"sem incidencia - outras saidas"
11;"5949";"38085029-000";"0";"sem incidencia - outras saidas"
11;"5949";"34022000-000";"0";"sem incidencia - outras saidas"
11;"5949";"34022000-000";"0";"sem incidencia - outras saidas"
11;"5949";"34022000-000";"0";"sem incidencia - outras saidas"
11;"5949";"34022000-000";"0";"sem incidencia - outras saidas"
11;"5949";"38085029-000";"0";"sem incidencia - outras saidas"
11;"5949";"34022000-000";"0";"sem incidencia - outras saidas"
11;"5949";"34022000-000";"0";"sem incidencia - outras saidas"
11;"5949";"34022000-000";"0";"sem incidencia - outras saidas"
11;"5949";"38085029-000";"0";"sem incidencia - outras saidas"
11;"5949";"34022000-000";"0";"sem incidencia - outras saidas"
11;"5949";"34022000-000";"0";"sem incidencia - outras saidas"
11;"5949";"38085029-000";"0";"sem incidencia - outras saidas"
11;"5949";"34022000-000";"0";"sem incidencia - outras saidas"
11;"5949";"34022000-000";"0";"sem incidencia - outras saidas"
11;"5949";"38085029-000";"0";"sem incidencia - outras saidas"
11;"5949";"34022000-000";"0";"sem incidencia - outras saidas"
11;"5949";"34022000-000";"0";"sem incidencia - outras saidas"
