"char_length";"cfop";"ncm";"coalesce";"y"
14;"2102";"01039200-000";"0";"tributado"
14;"1102";"23099010-000";"0";"suspensao"
14;"1102";"23099010-000";"0";"suspensao"
14;"1102";"23099010-000";"0";"suspensao"
14;"1102";"23099010-000";"0";"suspensao"
14;"1102";"23099010-000";"0";"suspensao"
14;"1102";"23099010-000";"0";"suspensao"
14;"1102";"23099010-000";"0";"suspensao"
14;"1102";"23099010-000";"0";"suspensao"
14;"1102";"23099010-000";"0";"suspensao"
14;"1102";"23099010-000";"0";"suspensao"
14;"1102";"23099010-000";"0";"suspensao"
14;"1102";"23099010-000";"0";"suspensao"
14;"1102";"23099010-000";"0";"suspensao"
14;"1102";"23099010-000";"0";"suspensao"
14;"1102";"23099090-000";"0";"tributado"
14;"1102";"23099010-000";"0";"suspensao"
14;"1102";"23099010-000";"0";"suspensao"
14;"1102";"23099010-000";"0";"suspensao"
14;"1102";"23099010-000";"0";"suspensao"
14;"1102";"23099010-000";"0";"suspensao"
14;"1102";"23099010-000";"0";"suspensao"
14;"1102";"23099010-000";"0";"suspensao"
14;"1102";"23099010-000";"0";"suspensao"
14;"1102";"23099010-000";"0";"suspensao"
14;"1102";"23099010-000";"0";"suspensao"
14;"1102";"23099010-000";"0";"suspensao"
14;"1102";"23099010-000";"0";"suspensao"
14;"1102";"23099010-000";"0";"suspensao"
14;"1102";"23099010-000";"0";"suspensao"
14;"1102";"23099010-000";"0";"suspensao"
14;"1102";"23099010-000";"0";"suspensao"
14;"1102";"23099010-000";"0";"suspensao"
14;"1102";"23099010-000";"0";"suspensao"
14;"1102";"23099010-000";"0";"suspensao"
14;"1102";"23099010-000";"0";"suspensao"
14;"1102";"23099090-000";"0";"tributado"
14;"1102";"23099010-000";"0";"suspensao"
14;"1102";"23099010-000";"0";"suspensao"
14;"1102";"23099010-000";"0";"suspensao"
14;"1102";"23099010-000";"0";"suspensao"
14;"1102";"54077100-000";"0";"tributado"
14;"1102";"39262000-000";"0";"tributado"
